kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_kepmag
12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,1,0,0,0,0,11.37936986,133.84992,0.911,2.6255,1.0235e+03,3.95,806,99.68,37.9,3,109,2,q1_q17_dr25_tce,5714,4.428,0.16,1.015,1.007,,15.367
12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,1,0,0,0,0,26.39432897,176.05459,0.602,3.573,1.5109e+03,3.07,489,13.49,48.2,1,51,1,q1_q17_dr25_tce,5129,4.595,0.02,0.763,0.846,,15.234
8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,1,0,0,0,0,13.57078281,136.279194,0.866,3.3539,5.1170e+02,2.64,785,89.61,88.4,4,101,1,q1_q17_dr25_tce,5854,4.406,-0.12,1.012,0.951,,12.882
9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,1,0,0,0,0,7.12594387,139.00492,0.898,3.0014,1.9240e+02,1.79,997,233.31,47.1,3,181,2,q1_q17_dr25_tce,5779,4.339,-0.06,1.087,0.941,,12.791
11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.014,0,1,0,0,7.442652004,169.9717797,0.137,2.3078,2.4446e+04,15.03,967,206.78,835.6,1,180,1,q1_q17_dr25_tce,6108,4.469,-0.3,0.956,0.981,,15.27
11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.38489988,172.72782,0.001,3.0249,1.1271e+03,2,433,8.35,28.9,3,65,2,q1_q17_dr25_tce,4126,4.661,0.04,0.615,0.633,,15.095
11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.8774163,176.3759,0.041,2.0805,1.3061e+03,2.16,553,22.18,38.7,3,135,1,q1_q17_dr25_tce,4126,4.661,0.04,0.615,0.633,,15.095
11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,1,0,0,0,0,36.4454001,151.60125,0.028,4.007,1.1223e+03,1.99,332,2.88,21.7,3,27,3,q1_q17_dr25_tce,4126,4.661,0.04,0.615,0.633,,15.095
11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.728732147,171.793255,0.558,2.683,5.2265e+03,6.02,1023,258.34,345.2,1,357,1,q1_q17_dr25_tce,5497,4.577,-0.1,0.809,0.907,,15.523
11818800,K00777.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,40.4195037,173.56469,0.911,3.362,6.2560e+03,7.51,467,11.29,36.9,1,36,1,q1_q17_dr25_tce,5446,4.507,-0.54,0.781,0.714,,15.487
