koi_score,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_disposition
1.0,0,0,0,46.1842039,165.23729,0.013,4.758,1394.7,1.83,273.0,1.32,26.0,4,25.0,3.0,3950.0,4.754,-0.46,0.493,0.502,15.954,CONFIRMED
0.952,0,0,0,23.9800854,147.537,0.95,5.351,104.0,1.31,649.0,41.94,17.1,4,56.0,4.0,5854.0,4.406,-0.12,1.012,0.951,12.882,CONFIRMED
0.994,0,0,0,7.82502168,136.54995,0.708,2.186,520.8,1.2,494.0,14.05,15.9,4,154.0,4.0,3950.0,4.754,-0.46,0.493,0.502,15.954,CONFIRMED
1.0,0,0,0,3.895936525,170.527552,0.524,2.3111,8544.8,7.34,1005.0,241.62,370.8,1,275.0,1.0,5557.0,4.592,-0.3,0.774,0.866,15.725,CONFIRMED
0.999,0,0,0,22.36646466,175.45862,0.4,5.228,986.8,2.32,536.0,19.45,32.1,1,48.0,1.0,5395.0,4.615,-0.34,0.734,0.821,15.583,CONFIRMED
1.0,0,0,0,1.625522174,170.8266564,0.076,2.38963,7969.0,9.73,1579.0,1467.41,799.7,1,657.0,1.0,5539.0,4.322,0.16,1.106,0.935,15.001,CONFIRMED
0.0,0,1,0,7.544039,171.7982,1.175,6.222,322.6,17.47,838.0,116.46,14.2,1,143.0,2.0,5657.0,4.567,-0.18,0.824,0.919,15.559,FALSE POSITIVE
1.0,0,0,0,9.02930689,177.20422,0.024,3.1449,1019.8,2.57,757.0,77.75,53.9,1,146.0,1.0,5349.0,4.526,-0.12,0.82,0.824,15.387,CONFIRMED
0.053,1,0,0,10.32803571,174.581054,0.281,7.7915,16918.0,13.28,843.0,119.31,636.8,1,114.0,1.0,5627.0,4.359,-0.1,1.024,0.874,15.646,FALSE POSITIVE
1.0,0,0,0,143.2063047,154.23552,0.379,8.9302,10566.0,8.9,308.0,2.14,138.8,5,9.0,2.0,5485.0,4.556,0.21,0.867,0.986,15.403,CONFIRMED
0.95,0,0,0,6.164876,135.63916,0.646,3.262,55.8,0.79,1021.0,256.35,14.4,4,207.0,3.0,5854.0,4.406,-0.12,1.012,0.951,12.882,CONFIRMED
0.745,0,0,0,60.32494216,243.892578,0.224,6.6188,20280.0,12.19,411.0,6.77,347.2,5,22.0,1.0,5485.0,4.556,0.21,0.867,0.986,15.403,CONFIRMED
0.0,0,1,1,1.540397253,170.50479,1.225,2.1541,816.1,25.69,1470.0,1105.68,38.8,1,842.0,1.0,5663.0,4.53,0.21,0.915,1.034,15.974,FALSE POSITIVE
0.0,0,1,1,2.99025443,171.9834,0.014,5.414,589.2,1.7,918.0,168.45,48.5,1,454.0,1.0,4667.0,4.578,0.1,0.731,0.737,15.842,FALSE POSITIVE
1.0,0,0,0,1.594745374,170.6483505,0.514,1.9604,15044.0,11.3,1539.0,1329.42,1009.3,1,762.0,1.0,5934.0,4.491,-0.38,0.893,0.901,15.53,CONFIRMED
1.0,0,0,0,4.783002698,170.508434,0.003,2.335,1008.7,2.5,886.0,145.48,70.6,1,281.0,1.0,5170.0,4.574,0.18,0.807,0.891,15.119,CONFIRMED
1.0,0,0,0,20.50588921,181.43428,0.26,4.0595,2105.5,3.41,518.0,17.06,78.5,1,69.0,1.0,4905.0,4.544,-0.04,0.761,0.739,15.398,CONFIRMED
1.0,0,0,0,3.340218842,171.979062,0.466,1.9104,1632.6,2.03,656.0,43.73,71.6,4,398.0,1.0,3950.0,4.754,-0.46,0.493,0.502,15.954,CONFIRMED
0.0,1,1,0,2.507089906,171.002455,1.255,2.0067,1339.2,30.26,1326.0,730.47,64.9,1,408.0,1.0,5926.0,4.506,-0.04,0.939,1.03,15.555,FALSE POSITIVE
1.0,0,0,0,18.64932728,174.771,0.08,4.4056,893.6,3.12,701.0,57.13,46.1,3,71.0,1.0,5775.0,4.405,0.16,1.053,1.026,15.386,CONFIRMED
1.0,0,0,0,4.90144976,138.60548,0.529,4.1654,140.7,1.7,1262.0,598.74,50.6,4,193.0,3.0,5847.0,4.191,0.26,1.402,1.113,12.487,CONFIRMED
0.998,0,0,0,9.75192101,138.78608,0.949,4.793,418.0,2.76,870.0,135.66,28.5,3,132.0,3.0,5775.0,4.405,0.16,1.053,1.026,15.386,CONFIRMED
1.0,0,0,0,38.5576546,163.85063,0.911,5.794,993.0,4.02,550.0,21.71,39.7,3,37.0,2.0,5775.0,4.405,0.16,1.053,1.026,15.386,CONFIRMED
0.99,0,0,0,3.525632539,170.0479951,0.12,2.59959,22335.0,11.58,975.0,213.12,1996.7,1,382.0,1.0,5150.0,4.572,0.08,0.793,0.855,15.224,CONFIRMED
1.0,0,0,0,7.748094239,174.997206,0.517,3.5957,2472.1,5.52,964.0,204.39,113.2,1,133.0,1.0,5973.0,4.439,0.36,1.085,1.181,15.67,CONFIRMED
1.0,0,0,0,23.96793669,186.22182,0.416,3.827,1182.3,1.8,329.0,2.77,27.5,2,43.0,1.0,3747.0,4.728,0.1,0.524,0.536,15.414,CONFIRMED
0.995,0,0,0,8.29561738,135.79284,0.888,1.3421,824.3,1.82,469.0,11.39,17.9,2,119.0,2.0,3747.0,4.728,0.1,0.524,0.536,15.414,CONFIRMED
1.0,0,0,0,8.11437482,176.33968,0.573,2.2736,1558.0,2.1,460.0,10.55,56.4,1,167.0,1.0,3692.0,4.753,0.28,0.517,0.553,15.877,CONFIRMED
0.0,1,0,0,38.03672948,196.934947,0.501,4.34617,82872.0,27.5,500.0,14.81,1300.0,1,26.0,1.0,5575.0,4.521,0.36,0.932,1.051,15.472,FALSE POSITIVE
0.0,1,1,1,3.747838198,171.66504,1.121,5.0642,616.0,13.65,1031.0,266.76,138.2,1,358.0,1.0,5514.0,4.569,-0.04,0.826,0.926,13.496,FALSE POSITIVE
0.992,0,0,0,14.74914825,138.77799,0.173,6.0995,430.2,2.89,874.0,137.91,107.4,4,72.0,1.0,5847.0,4.191,0.26,1.402,1.113,12.487,CONFIRMED
1.0,0,0,0,21.81295996,174.01085,0.053,4.3791,1175.4,3.38,639.0,39.33,37.8,1,45.0,1.0,5601.0,4.41,0.08,0.999,0.934,15.54,CONFIRMED
0.0,1,0,0,7.91936937,172.181092,0.733,3.3148,15148.0,10.34,814.0,104.0,389.0,1,132.0,1.0,5690.0,4.588,-0.4,0.776,0.852,15.805,FALSE POSITIVE
1.0,0,0,0,15.37562369,173.61402,0.692,3.3169,15337.0,11.01,600.0,30.54,166.0,1,50.0,1.0,4986.0,4.496,0.16,0.833,0.793,16.422,CONFIRMED
1.0,0,0,0,8.10363271,176.9486,0.047,3.161,887.9,2.11,687.0,52.82,39.3,2,131.0,1.0,4861.0,4.574,-0.08,0.732,0.733,15.289,CONFIRMED
1.0,0,0,0,4.71510843,134.96178,0.258,2.506,417.5,1.46,823.0,108.84,21.3,2,208.0,2.0,4861.0,4.574,-0.08,0.732,0.733,15.289,CONFIRMED
1.0,0,0,0,6.365839713,171.13575,0.524,2.9721,780.7,2.44,914.0,165.33,70.8,1,216.0,1.0,5776.0,4.554,-0.18,0.849,0.939,15.09,CONFIRMED
0.037,0,1,0,5.97581754,174.77602,0.941,3.065,962.4,3.86,1047.0,284.25,50.3,1,181.0,1.0,6108.0,4.471,-0.08,0.997,1.072,15.546,FALSE POSITIVE
0.0,0,1,1,2.446737317,170.66951,1.241,4.7211,1177.9,26.25,1261.0,597.19,110.2,1,552.0,1.0,5764.0,4.548,-0.12,0.863,0.959,15.021,FALSE POSITIVE
1.0,0,0,0,3.04033046,169.9490106,0.736,1.8411,10859.0,8.99,1021.0,257.29,568.2,1,440.0,1.0,5035.0,4.519,-0.06,0.791,0.754,15.028,CONFIRMED
1.0,0,0,0,15.33528675,174.00278,0.773,3.897,3081.4,5.0,610.0,32.67,86.6,5,85.0,2.0,5251.0,4.581,0.21,0.817,0.926,15.855,CONFIRMED
